student_id,problem_id,correct
0,12,0
0,13,1
0,16,0
0,52,0
0,60,1
1,65,1
1,66,1
1,67,1
1,72,1
2,82,0
2,83,0
3,82,1
3,117,0
3,67,0
3,12,1
3,122,0
3,123,0
3,126,1
3,127,0
3,136,0
3,137,1
4,12,1
4,67,1
4,72,1
4,142,1
4,137,1
4,143,1
4,144,1
4,145,1
4,147,1
4,148,1
4,152,1
5,142,1
5,65,1
5,66,1
5,67,1
5,72,1
5,143,1
5,160,1
5,144,1
5,145,1
5,147,1
5,152,1
5,148,1
5,82,1
5,162,1
5,136,1
5,168,0
5,170,0
5,172,1
5,117,1
5,123,1
5,126,1
5,175,1
5,127,1
5,176,1
5,177,1
5,178,1
5,184,1
5,187,1
5,188,0
5,198,1
5,202,0
5,203,1
5,205,1
5,207,1
5,211,1
5,216,1
5,219,0
5,220,1
6,222,1
6,223,0
6,227,1
6,228,0
7,67,1
7,72,1
8,162,0
8,232,1
8,12,1
8,234,1
9,67,1
9,148,1
10,12,1
10,244,0
10,245,1
10,246,1
10,248,0
10,250,1
10,252,1
10,255,0
10,198,0
10,260,0
10,67,0
10,263,1
10,266,1
11,67,1
11,72,1
11,143,1
11,142,0
12,67,1
12,72,1
12,267,1
12,268,1
12,269,1
12,143,1
12,144,1
12,227,1
12,145,1
12,148,1
12,152,0
12,147,1
12,272,1
12,142,1
12,170,1
12,276,0
12,279,1
12,280,1
12,283,1
12,284,1
12,162,1
12,117,1
12,66,1
12,65,1
12,289,1
12,260,1
12,126,1
12,127,1
12,123,1
12,177,1
12,292,1
12,294,1
13,160,1
13,260,1
13,298,1
13,299,1
13,301,1
13,83,0
13,266,1
13,304,1
13,305,1
13,306,1
13,280,1
13,13,1
13,12,1
13,307,0
13,308,0
13,309,0
13,312,1
13,313,1
13,314,1
13,317,0
13,319,1
13,321,1
13,322,1
13,188,1
13,326,0
13,67,1
13,328,1
13,72,1
14,329,0
14,331,1
14,67,1
14,72,1
14,143,1
14,144,1
14,145,1
14,148,1
14,152,1
14,147,1
14,272,1
14,12,1
14,333,1
14,334,1
14,335,1
14,279,1
14,338,1
14,340,1
14,162,1
14,65,1
14,245,1
14,222,1
14,136,0
14,280,1
14,343,1
14,66,1
14,117,1
14,294,1
14,292,1
14,344,1
14,345,1
14,308,0
14,348,1
14,205,1
14,349,1
14,246,1
14,353,1
14,354,1
14,355,1
14,356,1
14,357,1
14,358,0
14,361,1
14,123,1
14,364,1
14,234,1
14,365,1
14,187,1
14,168,1
14,220,0
14,368,1
14,369,1
14,371,1
14,372,1
14,373,1
14,376,1
14,377,1
14,379,1
14,383,0
14,283,0
14,211,0
14,386,1
14,387,0
14,207,0
14,269,1
14,392,1
14,202,0
14,172,1
14,394,1
14,284,1
14,395,1
14,223,1
14,396,1
14,301,1
15,160,1
15,398,1
16,301,0
16,147,1
16,222,1
16,223,0
17,72,1
17,143,1
17,272,1
17,147,1
17,144,1
17,145,1
17,67,1
17,148,1
17,142,1
17,170,1
17,279,1
17,283,1
18,67,1
18,72,1
18,143,1
18,144,1
18,246,1
19,268,1
19,301,0
19,60,0
20,268,1
20,260,1
20,266,1
20,263,1
20,269,1
20,343,1
20,403,1
20,142,1
20,82,1
20,147,1
20,144,1
20,143,1
20,222,1
20,404,1
20,272,0
20,67,1
20,252,1
20,394,1
20,145,1
20,354,1
20,279,1
20,245,1
20,410,1
20,170,1
20,284,0
20,379,1
20,349,1
20,246,1
20,72,1
20,223,1
20,248,1
20,227,1
20,416,1
20,417,1
20,152,0
20,419,0
20,123,1
20,66,1
20,65,1
20,292,1
20,175,0
20,117,1
20,198,0
20,250,1
20,425,1
20,426,0
20,234,1
20,429,0
20,364,0
20,12,1
20,13,1
20,433,1
20,176,0
20,331,1
20,283,0
20,358,0
20,436,0
20,437,1
20,438,1
20,289,0
20,440,1
20,126,1
20,442,1
20,444,0
20,368,1
20,333,1
20,447,1
20,371,1
20,448,1
21,260,0
21,67,1
21,449,0
22,67,1
22,72,1
22,143,1
22,144,1
22,145,1
22,147,1
22,152,1
22,148,1
22,162,1
22,82,1
22,142,1
22,170,0
23,232,0
23,268,0
23,252,1
23,207,0
23,144,1
23,142,1
24,268,1
24,450,0
24,162,0
24,13,0
25,67,1
25,72,1
25,148,1
25,142,1
25,170,0
25,354,1
25,451,0
25,152,1
25,144,1
25,145,1
25,147,1
25,232,1
25,301,0
25,143,1
25,280,1
25,279,1
25,395,1
25,283,1
25,162,1
25,66,1
25,117,1
25,123,1
25,245,1
26,394,0
26,343,1
26,222,0
26,263,0
26,404,1
27,13,0
27,394,0
27,252,1
27,142,0
27,280,0
27,234,1
27,222,1
27,223,0
27,457,0
28,67,1
28,72,1
28,143,1
28,144,1
28,145,1
28,147,1
28,152,1
28,82,1
28,12,1
28,211,1
29,67,1
29,72,1
29,147,1
29,160,1
29,152,1
29,143,1
29,144,1
29,145,1
29,82,1
29,458,0
29,148,1
29,187,0
29,162,1
30,12,0
30,126,1
30,65,0
30,299,0
31,252,1
31,266,0
32,252,1
32,227,0
33,386,0
33,12,1
33,82,1
33,459,1
33,461,1
33,462,1
33,126,1
33,127,1
33,292,1
34,147,1
34,152,0
34,160,1
34,148,1
34,67,1
34,72,1
34,145,1
34,143,1
34,144,1
34,66,1
34,398,1
34,355,0
34,354,1
34,142,1
34,170,0
34,451,1
34,338,1
34,168,0
34,358,0
34,371,1
34,376,1
34,184,1
34,353,0
34,203,1
34,205,1
34,365,0
34,232,1
34,467,0
34,216,1
34,458,0
35,232,1
35,433,1
35,469,0
35,67,1
35,142,1
35,65,0
35,72,1
35,147,1
35,145,0
35,338,0
35,170,0
35,471,1
35,472,0
35,467,0
35,473,1
35,126,1
35,127,1
35,177,1
35,117,0
35,475,0
35,477,0
35,220,0
35,160,0
35,13,1
35,309,0
35,329,0
35,184,0
36,268,0
36,260,0
36,67,0
37,394,0
37,263,1
37,266,1
37,82,1
37,260,1
37,457,0
37,137,1
37,484,1
37,485,1
37,65,1
37,216,0
37,12,1
37,160,0
37,403,1
37,234,1
37,144,1
37,145,1
37,343,1
37,222,1
37,294,0
37,143,1
37,349,1
37,365,0
37,16,0
37,488,1
37,246,1
37,152,0
37,67,0
37,387,0
37,136,0
37,489,0
38,67,1
38,72,1
38,160,1
38,142,1
38,143,1
38,145,1
38,144,1
38,152,1
38,147,1
38,148,1
38,187,1
38,12,1
38,348,0
38,136,0
38,354,1
38,280,1
38,355,1
38,338,1
38,395,1
38,387,1
38,386,1
38,203,1
38,205,1
38,207,0
38,66,0
38,246,1
38,349,1
38,321,1
38,322,1
38,126,1
38,127,0
38,398,1
38,410,0
38,333,0
38,433,1
38,451,0
38,492,0
38,469,0
38,467,0
38,461,0
38,358,0
38,170,1
38,198,0
38,361,1
38,279,1
38,123,1
38,122,0
38,458,0
38,471,1
38,475,0
38,188,1
38,383,0
38,494,1
38,283,1
38,168,1
38,216,0
38,245,1
38,396,1
38,495,1
38,317,0
38,314,0
38,117,0
38,284,0
38,394,1
39,145,1
39,12,1
40,232,0
40,234,0
41,260,1
41,429,0
41,500,0
41,268,0
41,266,1
41,365,0
41,232,0
41,142,0
41,223,0
41,457,0
41,403,0
41,343,0
41,269,0
41,252,1
42,160,1
42,298,1
42,398,1
42,371,1
42,372,1
42,373,1
42,268,1
42,334,1
42,377,0
42,12,1
42,444,1
43,67,1
43,72,1
43,321,1
43,142,1
43,198,0
43,160,0
43,319,0
43,232,1
43,143,1
43,144,1
43,145,1
43,147,1
43,152,1
43,148,1
43,170,1
43,162,1
43,82,1
43,245,1
43,354,1
43,392,1
43,410,1
43,355,1
43,333,1
43,244,0
43,137,1
43,66,1
43,117,1
43,395,1
43,396,1
43,126,1
43,127,1
43,177,1
43,178,1
43,175,1
43,65,1
43,123,1
43,345,0
43,502,0
43,394,1
43,349,1
43,246,1
43,433,1
43,447,0
43,469,1
43,176,1
43,168,1
43,495,1
43,122,0
43,505,1
43,289,0
43,272,1
43,203,1
43,205,1
43,280,1
43,365,0
43,467,1
43,473,1
43,348,0
43,13,1
43,509,1
44,16,1
44,248,1
44,222,1
44,343,1
44,82,1
44,211,1
44,386,1
44,387,1
44,244,1
44,136,1
44,494,1
44,459,1
44,12,1
45,245,0
45,12,1
45,82,1
45,394,1
45,216,0
46,260,1
46,263,1
46,266,1
46,268,1
46,267,1
46,67,1
46,72,1
46,269,1
46,143,1
46,144,1
46,145,1
46,148,1
46,152,1
46,147,0
46,272,0
46,82,1
46,331,0
46,162,1
47,494,1
47,244,1
47,137,1
47,16,1
47,459,1
47,245,1
47,117,1
47,433,0
47,387,1
47,386,1
47,222,1
47,126,1
47,223,1
47,123,1
47,162,1
47,82,1
47,394,1
47,67,1
47,72,1
47,343,1
47,143,1
47,404,1
47,248,1
47,144,1
47,145,1
47,148,1
47,147,1
47,269,1
47,272,1
47,379,1
47,396,0
47,266,1
47,425,0
47,509,1
47,255,1
47,419,1
47,301,0
47,410,1
47,512,1
47,426,1
47,500,0
47,514,1
47,246,1
47,292,1
47,461,1
47,331,0
47,198,0
47,122,0
47,484,1
47,268,1
47,485,1
47,66,1
47,65,1
47,289,0
47,462,1
47,267,1
47,417,1
47,294,0
47,127,1
48,67,0
48,12,1
48,136,0
49,260,0
49,67,0
49,373,1
49,232,1
49,187,0
49,515,0
50,67,0
50,379,1
50,266,0
51,67,1
51,72,1
51,12,1
52,67,0
52,494,0
53,67,1
53,72,0
53,145,0
53,143,1
53,144,0
53,245,1
53,279,1
53,66,1
53,65,0
53,123,1
53,126,1
53,127,0
53,147,1
53,148,1
53,345,1
53,433,1
53,469,1
53,516,0
53,82,1
53,472,0
53,517,1
53,451,0
53,329,1
53,377,0
54,67,1
54,143,1
54,72,1
54,147,1
54,144,1
54,145,1
54,148,1
54,152,1
54,142,1
54,170,1
54,353,1
54,356,1
54,280,1
54,279,1
54,283,1
54,162,1
54,245,1
54,66,1
54,117,1
54,123,1
54,126,1
54,127,1
54,177,1
54,178,1
54,345,1
54,433,1
54,518,1
54,410,1
55,147,1
55,67,1
55,72,1
55,143,1
55,144,1
55,145,1
55,148,1
55,152,1
55,232,1
56,67,0
56,72,0
56,203,0
56,246,1
56,222,1
56,223,0
56,319,0
56,268,0
56,457,1
56,343,1
56,404,1
56,403,0
56,234,1
56,267,0
57,252,1
57,266,1
57,457,1
57,234,1
57,250,1
58,82,0
58,518,0
58,333,0
58,16,0
58,66,0
58,12,0
58,160,0
58,279,0
59,144,1
59,147,1
59,142,1
59,338,1
59,67,1
59,145,1
59,72,1
59,433,1
59,469,1
59,471,1
59,143,1
59,152,1
59,148,1
59,170,1
59,245,1
59,520,1
59,521,1
59,12,1
59,387,1
59,410,1
59,246,1
59,349,1
59,162,1
59,216,1
59,279,1
60,331,0
60,16,0
61,266,1
61,394,0
61,252,1
61,260,1
61,67,0
61,301,0
61,268,1
61,263,1
61,299,0
61,60,1
61,328,0
62,12,1
62,248,1
63,142,1
63,145,1
63,67,1
63,143,1
63,170,1
63,433,1
63,410,1
63,198,0
63,176,1
63,505,1
63,245,1
63,522,1
63,333,1
63,447,1
63,354,1
63,184,0
63,127,1
63,148,1
63,72,1
63,144,1
63,147,1
63,272,0
63,335,0
63,338,0
63,451,0
63,371,0
63,82,1
63,394,1
63,469,1
63,379,0
63,222,1
63,223,1
63,248,1
63,152,1
63,353,1
63,356,0
63,280,1
63,279,1
63,523,0
64,12,1
64,245,1
64,137,1
64,16,1
64,211,0
